map_date,island,site,tag_num,species,multitrunk,dbh,leaning,dbh_canopy_meas,canopy_N-S,canopy_E-W,crown_meas_dt,who,total_dbh_multisum,total_dbh_multiavg,total_dbh_multilgst,canopy_radius,change in dbh
16-Oct,guam,anao,1517,ifit,no,252,n,240,4.35,3.83,14-Jul-11,jonnie-annette,240,240,240,2.045,-12
9-Oct-09,guam,nblas,1019,guamia,no,240,n,251,2.6,5.19,15-Jul-11,jd-ap-mg,251,251,251,1.9475,11
22-Sep-09,guam,sblas ,819,premna,no,241,n,254,3.03,3.61,14-Jul-11,jonnie-annette,254,254,254,1.66,13
4-Sep,guam,anao,597,neiso,no,281,n,264,5.57,6.11,14-Jul-11,jonnie-annette,264,264,264,2.92,-17
11/9/09,saipan,ladt,7649,premna,no,266,n,275,5.88,6.56,19-May-11,MC_JD,275,275,275,3.11,9
24-Nov-09,saipan,mtr1,8525,neiso,no,279,n,285,5.81,5.59,19-May-11,MC_JD,285,285,285,2.85,6
9-Oct-09,guam,nblas,1014,premna,no,291,n,294,3.95,4.35,15-Jul-11,jd-ap-mg,294,294,294,2.075,3
9-Oct,guam,nblas,3982,neiso,no,314,n,310,3.6,3.67,15-Jul-11,jd-ap-mg,310,310,310,1.8175,-4
08/19/2009 and 08/21/209,saipan,forbs,2161,cyno,no,337,n,344,10.56,10.43,29-Apr-11,MC_JD,344,344,344,5.2475,7
17-Nov-09,saipan,mtr1,8019,cyno,no,487 + 48 + 71,n,419,4.83,3.59,19-May-11,MC_JD,419,419,419,2.105,#VALUE!
1-Oct-09,guam,sblas ,3342,premna,no,465,n,469,3.29,3.75,14-Jul-11,jonnie-annette,469,469,469,1.76,4
31-Jul,guam,nblas,137,premna,no,528,y,486,5.26,6.31,15-Jul-11,jd-ap-mg,486,486,486,2.8925,-42
10/8/09,guam,nblas,3976,triphasia,no,13,n,<10,0.35,0.78,15-Jul-11,jd-ap-mg,7,7,7,0.2825,#VALUE!
24-Aug-09,guam,nblas,295,morinda,yes,175+95,n,101+181,4.57,4.33,15-Jul-11,jd-ap-mg,282,141,181,2.225,#VALUE!
11/13/09,saipan,mtr1,7937,melano,yes,105 + 180 + 97,n,104+84+98,7.1,7.29,19-May-11,MC_JD,286,95.33333333,104,3.5975,#VALUE!
25-Nov-09,saipan,mtr1,8613,premna,yes,104 + 79 + 42 + 65,n,108+82+62+53,5.64,4.85,19-May-11,MC_JD,305,76.25,108,2.6225,#VALUE!
13-Aug-09,saipan,forbs,2092,guamia,yes,114+198+95,n,115+197+92,8.02,7.22,29-Apr-11,MC_JD,404,134.6666667,197,3.81,#VALUE!
16-Sep-09,saipan,ladt,2819,guamia,yes,118 + 74 + 59,n,120+78+65,6.37,7.66,19-May-11,MC_JD,263,87.66666667,120,3.5075,#VALUE!
11/10/09,saipan,mtr1,7865,premna,yes,124 + 103 + 39 + 72 + 157 + 65,n,125+108+77+168+40+62,8.07,2.67,19-May-11,MC_JD,580,96.66666667,168,2.685,#VALUE!
31-Jul,guam,nblas,161,cyno,yes,85+125,n,127+86,3.46,3.85,15-Jul-11,jd-ap-mg,213,106.5,127,1.8275,#VALUE!
24-Nov-09,saipan,mtr1,8537,maytenus,yes,12 + 6 <10,n,13+3<10,2.11,2.21,19-May-11,MC_JD,34,8.5,13,1.08,#VALUE!
13-Aug-09,saipan,forbs,2106,melano,yes,136+132,n,138+133,5.86,4.49,29-Apr-11,MC_JD,271,135.5,138,2.5875,#VALUE!
10/23/09,saipan,forbs,2947,premna,yes,138 + 148 + 100,n,142+150+105,8.47,5.28,29-Apr-11,MC_JD,397,132.3333333,150,3.4375,#VALUE!
23-Oct-09,saipan,forbs,2970,leucaena,yes,121 + 52 + 96 + 101 + 122,n,143+55+97+90+128,7.33,4.94,29-Apr-11,MC_JD,513,102.6,143,3.0675,#VALUE!
missing,saipan,ladt,2586,melano,yes,148 + 114,y,146+108,4.23,5.4,19-May-11,MC_JD,254,127,146,2.4075,#VALUE!
